대상시설명,위도,경도
현대일신유치원,35.17075418,129.0664592
화승유치원,35.16840379,129.0373261
화인유치원,35.17282726,129.0586357
해바라기자연유치원,35.1571185,129.0235693
금란유치원,35.1608238,129.0294651
금샘유치원,35.1755761,129.0640828
미소유치원(구.나무와아이들),35.16859825,129.0276734
늘푸른유치원,35.14743748,129.0196358
다원유치원,35.1790061,129.0563305
당감미리내유치원,35.1662387,129.0352533
당감초등학교 병설유치원,35.16428339,129.0412435
당평초등학교 병설유치원,35.16143614,129.0351726
동성유치원,35.15268626,129.0695011
벽산유치원,35.14746351,129.0281362
부산여대부속유치원,35.16923829,129.0720573
부산진유치원,35.1499601,129.0562654
빛나라유치원,35.1469879,129.0353397
새동유치원,35.1720278,129.0487216
서면원광유치원,35.1661393,129.0515033
선암유치원,35.1497283,129.0522612
성북초등학교 병설유치원,35.15124225,129.0681859
성지유치원,35.17142269,129.0328583
성지초등학교 병설유치원,35.1637504,129.0564954
양정유치원,35.1711433,129.0702889
양정원광유치원,35.1697015,129.0710592
양정현대유치원,35.17449296,129.0632237
엘지유치원,35.1558931,129.0183964
영림유치원,35.1506644,129.0216733
전원유치원,35.17297732,129.0369442
전포유치원,35.1594596,129.0633334
주례초등학교 병설유치원,35.1457956,129.0194669
초예유치원,35.1814958,129.0505055
화승예그린 유치원,35.16954693,129.0349402
개림초 병설유치원,35.15632411,129.0161905
부전초 병설유치원,35.15495135,129.0531116
가남초등학교,35.15451684,129.0440636
가산초등학교,35.1463446,129.0354733
가야초등학교,35.15386472,129.0365553
가평초등학교,35.14887656,129.0257663
개금초등학교,35.15452362,129.0195948
개림초등학교,35.15631983,129.0161767
개원초등학교,35.1645759,129.0284098
개포초등학교,35.15883106,129.0265628
개화초등학교,35.15857487,129.020698
당감초등학교,35.16428339,129.0412435
당평초등학교,35.16143614,129.0351726
동성초등학교,35.15268626,129.0695011
동양초등학교,35.17669331,129.0307457
동원초등학교,35.17320132,129.0311197
동평초등학교,35.16770975,129.0352983
부산진초등학교,35.1499593,129.0562654
부암초등학교,35.16499117,129.0487727
부전초등학교,35.15495135,129.0531116
선암초등학교,35.14936736,129.0488766
성북초등학교,35.15124225,129.0681859
성서초등학교,35.14505123,129.0623377
성전초등학교,35.16398992,129.0663626
성지초등학교,35.1646683,129.0569618
양동초등학교,35.1715209,129.0810654
양성초등학교,35.1703567,129.0660935
양정초등학교,35.17493602,129.0704415
연지초등학교,35.17270999,129.0521358
연학초등학교,35.17660838,129.0462806
전포초등학교,35.1594596,129.0633334
주례초등학교,35.1457956,129.0194669
주원초등학교,35.147258,129.0208064
초읍초등학교,35.18074569,129.053993
BR스쿨어린이집,35.19672651,129.0533438
SK뜰에유치원,35.19481646,129.1118476
교동초등학교,35.21545808,129.0921765
교동초등학교병설유치원,35.21545808,129.0921765
금강초등학교,35.2031347,129.0641112
낙민초등학교,35.19942578,129.088343
낙민초등학교병설유치원,35.19942578,129.088343
내산초등학교,35.20735793,129.0766352
내성초등학교,35.20461583,129.0897914
내성초등학교병설유치원,35.20461583,129.0897374
느티나무유치원,35.19155774,129.1028193
달북초등학교,35.20357435,129.0599975
동래유치원,35.20316736,129.088301
럭키동래유치원,35.2100912,129.0734827
명동초등학교,35.20759141,129.1062471
명륜자연유치원,35.21515222,129.0870207
명륜초등학교,35.20803548,129.0832699795
명서초등학교,35.21207663,129.1008778
명장초등학교,35.20819025,129.0965594
미남초등학교,35.20368445,129.0728408
법륜유치원,35.20358527,129.0879172
부산경찰청직장어린이집,35.19585803,129.0534731
부산맹학교,35.20686112,129.0970552
쁘띠쁘아유치원,35.20713307,129.0577378
사직유치원,35.2005247,129.0627414
사직자연유치원,35.19662799,129.057506
사직초등학교,35.20088135,129.0541694
세명유치원,35.20129139,129.1082182
수안유치원,35.20376806,129.0847206
수안초등학교,35.20047925,129.0804245
스펀지어린이집,35.19467085,129.1025964
스펀지유치원,35.1942212,129.0957756
승원어린이집,35.19514705,129.0705599
승원유치원,35.19526435,129.071029
아이숲유치원,35.20988242,129.106808
안남초등학교,35.19170351,129.1077338
안락초등학교,35.20200573,129.1030796
안락초등학교병설유치원,35.20200573,129.1030796
안민초등학교,35.19402913,129.0937899
안성자연유치원,35.20377358,129.1023286
안진초등학교,35.19474507,129.0991293
양덕어린이집,35.1955337,129.0689369
여고유치원,35.19981904,129.0678252
여고초등학교,35.1979099,129.0689614
예능어린이집,35.20518712,129.0867018
예람유치원,35.20122548,129.0826542
예원초등학교,35.19588224,129.0573916
예인유치원,35.19738003,129.0531522
예지어린이집,35.20205723,129.0730418
온천초등학교,35.21255477,129.0736773
주영어린이집,35.20850731,129.0998218
충렬초등학교,35.20041739,129.1117016
코끼리자연어린이집,35.20720049,129.0937239
한누리유치원,35.20037943,129.0520375
한독온천어린이집,35.20743972,129.0631326
한마음어린이집,35.20371241,129.1048531
해솔유치원,35.21425939,129.084954
현대어린이집,35.20736937,129.0831708
혜화병설유치원,35.20140513,129.1130289
혜화어린이집,35.20175211,129.1134549
혜화초등학교,35.20226047,129.1132938
홍익유치원,35.19871321,129.1038419
민들레유치원,35.21597023,129.075666
온샘초등학교,35.20952094,129.0687106
온샘초등학교병설유치원,35.20952094,129.0687106
온천보라어린이집,35.22150433,129.0769695
다솜어린이집,35.0759734,129.065522
영지어린이집,35.08991805,129.057659
와치어린이집,35.0920368,129.0570901
꿈나무유치원,35.08232583,129.0440672
복자유치원,35.09543187,129.0621922
봉학병설유치원,35.09553575,129.0550151
선암사유치원,35.06647691,129.0773082
영도중앙유치원,35.0928143,129.0505907
영일유치원,35.0901479,129.0462301
자비유치원,35.0863987,129.0645618
조아라유치원,35.07587367,129.0674351
초롱유치원,35.0713408,129.070142
태종대병설유치원,35.06585062,129.0791469
한성유치원,35.0718448,129.0629512
한마음유치원,35.07402808,129.0629907
남항초등학교,35.08366836,129.0431184
대교초등학교,35.09469394,129.0457531
대평초등학교,35.08753561,129.0388823
동삼초등학교,35.0798259,129.0734678
봉삼초등학교,35.07479599,129.0636195
봉학초등학교,35.09553575,129.0550151
상리초등학교,35.08394705,129.0670776
신선초등학교,35.08361799,129.0475357
영도초등학교,35.09012623,129.0462135
절영초등학교,35.07286285,129.0630068
중리초등학교,35.07420086,129.0701947
청동초등학교,35.08812016,129.0673539
청학초등학교,35.09320301,129.0595046
태종대초등학교,35.06585062,129.0791469
가락어린이집,35.20399906,128.9043819
가락초등학교,35.19634003,128.8952655
가락초등학교병설유치원,35.19634003,128.8952655
강변어린이집,35.140703,128.9473100056
강서어린이집,35.21676068,128.9593383
글로벌새싹어린이집,35.08866879,128.8989356
기린유치원,35.14979832,128.8355835
꿈바위어린이집,35.14755365,128.8804493
남명유치원,35.08408661,128.9105908
남명초등학교,35.08403561,128.9105908
녹명초등학교,35.11489404,128.8863922
녹산산단바른어린이집,35.09010981,128.8539339
녹산유치원,35.15147548,128.8371219
녹산초등학교,35.15147548,128.8371219
대사라온어린이집,35.21397539,128.9348277
대사초등학교,35.22041811,128.9385487
대상초등학교,35.21418396,128.9802525
대저유치원,35.17513227,128.9578468
대저초등학교,35.21610222,128.9553077
덕두초등학교,35.17564815,128.9558698
라임유치원,35.10849495,128.9254002
명원유치원,35.09412838,128.9149102
명원초등학교,35.09412838,128.9149102
명일유치원(단설),35.10951726,128.922704
명일초등학교,35.10951726,128.922704
명지국제유치원,35.09512861,128.9216749
명지배화유치원,35.11183594,128.9237437
명지센텀유치원,35.08864415,128.9026565
명지유치원(단설),35.10226077,128.9241172
명지자연유치원,35.08047817,128.8788394
명지초등학교,35.10226077,128.9241172
명호초등학교,35.08522707,128.9004096
명호초등학교병설유치원,35.08522707,128.9004096
무궁화어린이집,35.09510234,128.9219677
배영초등학교,35.15020326,128.9453675
보광유치원,35.18181108,128.9561575
부산한솔학교,35.0813777,128.8986257
부산혜원학교,35.21534404,128.9886148
송정유치원,35.08533995,128.8735974
송정초등학교,35.08536457,128.8735012
신명유치원,35.09523277,128.9207155
신명초등학교,35.09523277,128.9207155
신호초등학교,35.08196953,128.8785862
신호초등학교병설유치원,35.08196953,128.8785862
에코파랑새어린이집,35.147375,128.881323
오션유치원,35.08029669,128.9070666
오션초등학교,35.08029669,128.9070666
제일어린이집,35.10041581,128.8419611
천가초등학교,35.05234602,128.8312677
천가초등학교병설유치원,35.05234602,128.8312677
파랑새어린이집,35.11210702,128.8701154
현대어린이집,35.20464197,128.8911841
현대유치원,35.20464197,128.8911841
명지꿈자람유치원,35.09950189,128.9150379
명지가온유치원,35.08025363,128.9084057
명문초등학교,35.0993360094,128.9139609538
초량초등학교,35.11571293,129.0363333
성남초등학교,35.13519334,129.058478
범일초등학교,35.13957116,129.0496534
수정초등학교,35.13126498,129.0467291
수성초등학교,35.13455159,129.042761
부산화교소학교,35.11412616,129.037478
소화데레사유치원,35.13805619,129.055889
일신유치원,35.13467511,129.053374
한림유치원,35.124173,129.0395579
성남초등병설유치원,35.13519334,129.0584732
동일중앙초등병설유치원,35.12451542,129.0367718
수성초등병설유치원,35.13455159,129.0427218
묘음유치원,35.12501873,129.0355646
묘음예능어린이집,35.12501873,129.0355625
수정어린이집,35.136231,129.0430177
범일초등병설유치원,35.13957116,129.0496534
수정삼성어린이집,35.13134528,129.0449629
동일중앙초등학교,35.12451542,129.0367718
가동초등학교,35.32689908,129.178585
고리원자력본부 한빛어린이집,35.33055564,129.2826477
교리초등학교,35.25506584,129.216719
기장어린이집,35.2377172,129.2198799
기장초등학교,35.24556634,129.2128749
기장초등학교병설유치원,35.245419,129.2125717
내리초등학교,35.20576309,129.2055052
녹원유치원,35.20081212,129.2103555
달산유치원,35.31928499,129.186736
달산초등학교,35.31928499,129.186736
용암병설유치원,35.22530838,129.2268644
용암초등학교,35.22530838,129.226893
대청초등학교,35.23550269,129.2099128
모전초등학교,35.33968544,129.1623355
모전초등학교병설유치원,35.33968544,129.1623355
방곡초등학교,35.32292944,129.186724
버클리유치원,35.31899474,129.1681596
부산국제외국인학교,35.20075459,129.2071878
부산해마루학교,35.34081003,129.1661141
사랑나무유치원(구.해오름),35.237615,129.211988
산새소리어린이집(구.롯데동산),35.24149724,129.208318
산새소리유치원,35.24149724,129.208318
성우어린이집(구.육영),35.26948168,129.2323099
성우유치원,35.37426077,129.263181
성우학교,35.37426077,129.263163
